순위,국가,1인당_GDP,영문,인지도
1,룩셈부르크,"113,196",Luxembourg,515000000
2,스위스,"83,717",Switzerland,712000000
3,노르웨이,"77,975",Norway,572000000
4,아일랜드,"77,771",Ireland,1090000000
5,카타르,"69,688",Qatar,717000000
6,아이슬란드,"67,037",Iceland,517000000
7,미국,"65,112",United States of America,10360000000
8,싱가포르,"63,987",Singapore,2000000000
9,덴마크,"59,795",Denmark,524000000
10,오스트레일리아,"53,825",Australia,4660000000
11,네덜란드,"52,368",Netherlands,816000000
12,스웨덴,"51,242",Sweden,703000000
13,오스트리아,"50,023",Austria,887000000
14,핀란드,"48,869",Finland,516000000
15,산마리노,"47,280",San Marino,445000000
16,독일,"46,564",Germany,3900000000
17,캐나다,"46,213",Canada,4350000000
18,벨기에,"45,176",Belgium,657000000
19,이스라엘,"42,823",Israel,2700000000
20,프랑스,"41,761",France,5010000000
21,영국,"41,030",United Kingdom,2030000000
22,일본,"40,847",Japan,6490000000
23,뉴질랜드,"40,634",New Zealand,1530000000
24,아랍에미리트,"37,750",United Arab Emirates,799000000
25,바하마,"33,261",Bahamas,571000000
26,이탈리아,"32,947",Italy,3280000000
27,대한민국,"31,431",Republic of Korea,1610000000
28,몰타,"30,650",Malta,610000000
29,스페인,"29,961",Spain,1280000000
30,쿠웨이트,"29,267",Kuwait,486000000
31,브루나이,"27,871",Brunei Darussalam,341000000
32,키프로스,"27,720",Cyprus,286000000
33,슬로베니아,"26,170",Slovenia,341000000
34,바레인,"25,273",Bahrain,607000000
36,에스토니아,"23,524",Estonia,433000000
37,체코,"23,214",Czech Republic,766000000
38,포르투갈,"23,031",Portugal,1350000000
39,사우디아라비아,"22,865",Saudi Arabia,847000000
40,그리스,"19,974",Greece,568000000
41,슬로바키아,"19,548",Slovakia,337000000
42,리투아니아,"19,267",Lithuania,418000000
43,세인트키츠 네비스,"18,246",Saint Kitts and Nevis,225000000
44,라트비아,"18,172",Latvia,378000000
45,앤티가 바부다,"18,109",Antigua and Barbuda,265000000
46,바베이도스,"18,069",Barbados,329000000
47,오만,"17,791",Oman,802000000
48,헝가리,"17,463",Hungary,694000000
49,세이셸,"17,052",Seychelles,234000000
50,우루과이,"17,029",Uruguay,610000000
51,팔라우,"16,736",Palau,198000000
52,트리니다드 토바고,"16,366",Trinidad and Tobago,416000000
53,파나마,"16,245",Panama,909000000
54,몰디브,"15,563",Maldives,303000000
55,칠레,"15,399",Chile,1480000000
56,크로아티아,"14,950",Croatia,507000000
57,폴란드,"14,902",Poland,692000000
58,루마니아,"12,483",Romania,722000000
59,코스타리카,"12,015",Costa Rica,833000000
60,그레나다,"11,381",Grenada,158000000
61,모리셔스,"11,361",Mauritius,356000000
62,러시아,"11,163",Russia,2740000000
63,말레이시아,"11,137",Malaysia,1560000000
64,세인트루시아,"11,076",Saint Lucia,495000000
65,멕시코,"10,118",Mexico,5680000000
66,중화인민공화국,"10,099",China,6150000000
67,아르헨티나,"9,888",Argentina,1780000000
68,레바논,"9,655",Lebanon,610000000
69,불가리아,"9,518",Bulgaria,575000000
70,카자흐스탄,"9,139",Kazakhstan,327000000
71,터키,"8,958",Turkey,1180000000
72,적도 기니,"8,927",Equatorial Guinea,162000000
73,브라질,"8,797",Brazil,2090000000
74,몬테네그로,"8,704",Montenegro,306000000
75,도미니카 공화국,"8,629",Dominican Republic,176000000
76,도미니카 연방,"8,381",Commonwealth of Dominica,9120000
77,나우루,"8,270",Nauru,179000000
78,가봉,"8,112",Gabon,336000000
79,보츠와나,"7,859",Botswana,274000000
80,투르크메니스탄,"7,816",Turkmenistan,179000000
81,태국,"7,792",Thailand,1200000000
82,세인트빈센트 그레나딘,"7,751",Saint Vincent and the Grenadines,155000000
83,세르비아,"7,398",Serbia,503000000
84,페루,"7,047",Peru,1210000000
85,벨라루스,"6,604",Belarus,330000000
86,콜롬비아,"6,508",Colombia,1390000000
87,피지,"6,380",Fiji,350000000
88,수리남,"6,311",Republic of Suriname,207000000
89,에콰도르,"6,249",Ecuador,965000000
90,남아프리카 공화국,"6,100",Republic of South Africa,1330000000
91,북마케도니아,"6,096",Macedonia,364000000
92,나미비아,"5,842",Namibia,375000000
93,보스니아 헤르체고비나,"5,742",Bosnia and Herzegovina,281000000
94,이라크,"5,738",Iraq,453000000
95,파라과이,"5,692",Paraguay,459000000
96,이란,"5,506",Iran,965000000
97,자메이카,"5,461",Jamaica,568000000
98,알바니아,"5,373",Albania,671000000
99,가이아나,"5,252",Guyana,229000000
100,리비아,"5,020",Libya,247000000
101,벨리즈,"4,925",Belize,280000000
102,통가,"4,862",Tonga,294000000
103,아제르바이잔,"4,689",Azerbaijan,380000000
104,과테말라,"4,617",Guatemala,633000000
105,아르메니아,"4,528",Armenia,478000000
106,사모아,"4,501",Samoa,407000000
108,요르단,"4,387",Jordan,1410000000
109,조지아,"4,289",Georgia,1270000000
110,에스와티니,"4,177",Kingdom of Eswatini,35800000
111,인도네시아,"4,164",Indonesia,4150000000
112,몽골,"4,133",Mongolia,335000000
113,엘살바도르,"4,008",El Salvador,823000000
114,알제리,"3,980",Algeria,348000000
115,스리랑카,"3,947",Sri Lanka,635000000
116,마셜 제도,"3,925",Marshall Is.,748000000
117,투발루,"3,835",Tuvalu,155000000
118,미크로네시아 연방,"3,718",Micronesia,151000000
119,볼리비아,"3,671",Bolivia,521000000
120,카보베르데,"3,599",Cape Verde,537000000
121,우크라이나,"3,592",Ukraine,1320000000
122,부탄,"3,423",Bhutan,206000000
123,모로코,"3,345",Morocco,453000000
124,몰도바,"3,300",Moldova,287000000
125,필리핀,"3,294",Philippines,1180000000
126,튀니지,"3,287",Tunisia,363000000
127,바누아투,"3,260",Vanuatu,222000000
128,이집트,"3,047",Egypt,1340000000
129,앙골라,"3,038",Angola,784000000
130,지부티,"2,936",Djibouti,181000000
131,파푸아뉴기니,"2,742",Papua New Guinea,332000000
132,베트남,"2,740",Vietnam,681000000
133,라오스,"2,670",Laos,402000000
134,베네수엘라,"2,548",Bolivarian Republic of Venezuela,869000000
134,온두라스,"2,548",Honduras,468000000
136,콩고 공화국,"2,534",Republic of the Congo,567000000
137,동티모르,"2,263",East Timor,238000000
138,솔로몬 제도,"2,247",Solomon Is.,331000000
139,가나,"2,223",Ghana,622000000
140,나이지리아,"2,222",Nigeria,1530000000
141,인도,"2,172",India,8310000000
142,케냐,"1,998",Kenya,741000000
143,상투메 프린시페,"1,933",Sao Tome and Principe,293000000
144,니카라과,"1,919",Nicaragua,401000000
145,방글라데시,"1,906",Bangladesh,654000000
146,우즈베키스탄,"1,832",Uzbekistan,240000000
147,코트디부아르,"1,691",Republic of Cote d'Ivoire,283000000
148,캄보디아,"1,621",Cambodia,432000000
149,키리바시,"1,575",Kiribati,167000000
150,카메룬,"1,515",Cameroon,264000000
151,세네갈,"1,428",Senegal,515000000
152,모리타니,"1,392",Mauritania,200000000
153,파키스탄,"1,388",Pakistan,1660000000
154,코모로,"1,350",Comoros,166000000
155,레소토,"1,339",Lesotho,201000000
156,잠비아,"1,307",Zambia,328000000
157,키르기스스탄,"1,293",Kyrgyzstan,238000000
158,미얀마,"1,245",Republic of the Union of Myanmar,412000000
159,베냉,"1,217",Benin,241000000
160,탄자니아,"1,105",Tanzania,474000000
161,네팔,"1,048",Nepal,614000000
162,기니,981,Guinea,419000000
163,에티오피아,953,Ethiopia,470000000
164,예멘,943,Yemen,345000000
165,말리,924,Mali,559000000
166,타지키스탄,877,Tajikistan,180000000
167,차드,861,Chad,350000000
168,짐바브웨,860,Zimbabwe,425000000
169,르완다,825,Rwanda,362000000
170,기니비사우,786,Guinea Bissau,156000000
171,아이티,784,Haiti,523000000
172,우간다,770,Uganda,465000000
173,감비아,755,Republic of The Gambia,231000000
174,부르키나파소,718,Burkina Faso,300000000
175,수단,714,Sudan,405000000
176,라이베리아,704,Liberia,254000000
177,토고,671,Togo,340000000
178,시에라리온,547,Sierra Leone,497000000
179,아프가니스탄,513,Afghanistan,422000000
180,콩고 민주 공화국,501,Democratic Republic of the Congo,671000000
181,모잠비크,484,Mozambique,296000000
182,마다가스카르,464,Madagascar,313000000
183,중앙아프리카 공화국,448,Central African Republic,939000000
184,니제르,405,Niger,294000000
185,말라위,371,Malawi,285000000
186,에리트레아,343,Eritrea,187000000
187,부룬디,310,Burundi,326000000
188,남수단,275,Republic of South Sudan,336000000
